ARTIST,SONG
12 Stones,Crash
12 Stones,The Way I Feel
12 Stones,We Are One
12 Stones,We Are One (Vocal)
125100 Pm,Strokes
13 Javine,Real Things
13 Ronnie Milsap,Smoky Mountain Rain
14  Robbie Williams,Something Beautiful
14 Joe Diffie,Prop Me Up Beside The Jukebox
15 D Frizzell S West,Youre The Reason God Ma
15 Delta Goodrem,Lost Without You
16 Craig David,Spanish
1910 Fruitgum Co.,"1, 2, 3 Redlight"
1910 Fruitgum Co.,1-2-3 Redlight
1910 Fruitgum Co.,Simon Says
1999 Man United Squad,Lift It High (All About Belief)
2 Become 1,Spice Girls
2 Evisa,Oh La La La
2 In A Room,Wiggle It
2 Live Crew,Do Wah Diddy Diddy
2 Live Crew,Doo Wah Diddy
2 Live Crew,Me So Horny
2 Live Crew,We Want Some PUSSY
2 Live Crew,We Want Some Pussy
2 Pac,California Love
2 Pac,California Love (Original Version)
2 Pac,Changes
2 Pac,How Do You Want It
2 Pac,I Get Around
2 Pac,Thugz Mansion
2 Pac,Until The End Of Time
2 Pac & Elton John,Ghetto Gospel
2 Pac & Eminem,One Day At A Time
2 Pac & Eminem,One Day At A Time (Vocal)
2 Pac & Eric Will,Do For Love
2 Pistols & Ray J,You Know Me
2 Pistols & Ray J Wvocal,You Know Me
2 Pistols & Ray J.,You Know Me
2 Pistols & T-Pain & Tay Dizm,She Got It
2 Pistols & T-Pain & Tay Dizm Wvocal,She Got It
2 Pistols And Ray J,You Know Me
2 Pistols And T Pain And Tay Dizm,She Got It
2 Play & Thomas Jules & Jucxi D,Careless Whisper
2 Unlimited,Do What's Good For Me
2 Unlimited,Do What's Good For Me (Dance Remix)
2 Unlimited,No Limits
2 Unlimited,Twilight Zone
20 Fingers,Short Dick Man
21 Demands,Give Me A Minute
21 Demands Wvocal,Give Me A Minute
21St Century Girls,21St Century Girls
21st Century Girls,21st Century Girls
22 (Twenty Two),Taylor Swift
2-4 Family,Lean On Me
24 Hours At A Time,"Tucker, Marshall"
2Pac,California Love (Original Version)
2Pac & Eric Williams,Do For Love
2Pac And Eminem,One Day At A Time
2Pac And Notorious Big,Runnin (Dying To Live)
3 Colours Red,Beautiful Day
3 DAYS GRACE,JUST LIKE YOU
3 Days Grace,I Hate Everything About You
3 Days Of Grace,Home
3 Dog Night,Old Fashioned Love Song
3 DOORS DOWN,HERE BY ME
3 DOORS DOWN,HERE WITHOUT YOU
3 DOORS DOWN,LIVE FOR TODAY
3 Doors Down,"Better Life, The"
3 Doors Down,"Road I'm On, The (Vocal)"
3 Doors Down,"Road I'm On, The"
3 Doors Down,Away From The Sun
3 Doors Down,Away From The Sun (Vocal)
3 Doors Down,Be Like That
3 Doors Down,Be Like That (Vocal)
3 Doors Down,Behind Those Eye
3 Doors Down,Behind Those Eyes
3 Doors Down,Behind Those Eyes (Vocal)
3 Doors Down,Citizen Soldier
3 Doors Down,Citizen Soldier (Vocal)
3 Doors Down,Duck & Run
3 Doors Down,Duck And Run
3 Doors Down,Every Time You Go
3 Doors Down,Here  By Me
3 Doors Down,Here By Me
3 Doors Down,Here By Me (Vocal)
3 Doors Down,Here Without You
3 Doors Down,Here Without You (Vocal)
3 Doors Down,It's Not My Time
3 Doors Down,It's Not My Time (I Won't Go)
3 Doors Down,Its Not My Time
3 Doors Down,Kryptonite
3 Doors Down,Kryptonite (Vocal)
3 Doors Down,Landing In London
3 Doors Down,Let Me Be Myself
3 Doors Down,Let Me Be Myself (Vocal)
3 Doors Down,Let Me Go
3 Doors Down,Let Me Go (Vocal)
3 Doors Down,Live For Today
3 Doors Down,Live For Today (Vocal)
3 Doors Down,Loser
3 Doors Down,Loser (Vocal)
3 Doors Down,Road Im On
3 Doors Down,So I Need You
3 Doors Down,Train
3 Doors Down,When I'm Gone
3 Doors Down,When I'm Gone (Vocal)
3 Doors Down,When Im Gone
3 Doors Down,When You're Young
3 Doors Down & Bob Seger,Landing In London
3 Doors Down Wvocal,Citizen Soldier
3 Doors Down Wvocal,It's Not My Time
3 Doors Down Wvocal,Train
3 Doors Down W-Vocal,Let Me Be Myself
3 Doors Down W-Vocals,Let Me Be Myself
3 Doors Down ,"Road I'm On, The"
3 Down Doors,Kryptonite
3 LW,No More (Baby I'ma Do Right)
3 Of A Kind,Baby Cakes
3 Of Hearts,Arizona Rain
3 Of Hearts,Christmas Shoes
3 Of Hearts,Love Is Enough
3 Three Doors Down,Here Without You
30 Seconds To Mars,"Kill, The Bury Me"
30 Seconds To Mars,"Kill, The"
30 Seconds To Mars,From Yesterday
30 Seconds To Mars,Kings And Queens
30 Seconds To Mars W-Vocal,"Kill, The"
30H!3 & Ke$ha,My First Kiss
38 Special,"Teacher, Teacher"
38 Special,Back Where You Belong
38 Special,Caught Up In You
38 Special,Fantasy Girl
38 Special,Hold On Loosely
38 Special,If I'd Been The One
38 Special,Rockin' Into The Night
38 Special,Rockin' Onto The Night
38 Special,Second Chance
38 Special,Wild Eyed Southern Boys
3LW,I Do (MF Duet)
3LW,I Do (Wanna Get Close To You)
3LW,No More
3LW,No More (Baby I'm A Do Right)
3LW,Playas Gon' Play
3Lw,I Do (Wanna Get Close To You)
3Lw,No More
3Lw,No More (Baby I'm A Do Right)
3Lw,No More (Baby I'ma Do Right)
3Lw,Playas Gon Play
3lw,Playas Gon' Play
3lw & Loon,I Do (Mf Duet)
3OH!3,Don't Trust Me
3OH!3,Don't Trust Me (Vocal)
3OH!3,Double Vision
3OH!3,Starstrukk
3Oh!3,Don't Trust Me
3OH!3 & Katy Perry,Starstrukk
3Oh!3 & Katy Perry,Starstrukk
3OH!3 & Ke$ha,My First Kiss
3OH!3 & Kesha,My First Kiss
3OH!3 & Kesha,My First Kiss (Vocal)
3Oh!3 & Kesha,My First Kiss
3OH!3 & Neon Hitch,Follow Me Down
3OH!3 & Neon Hitch,Follow Me Down (Vocal)
3oh!3 . Neon Hitch,Follow Me Down
3Oh!3 Wvocal,Don't Trust Me
3RD EYE BLIND,BLINDED
3rd Strike,No Light
3rd Strike,Redemption
3SL,Take It Easy
3T,Anything
3T,Tease Me
3t,Anything
3T & Michael Jackson,Why
3T Michael Jackson,Why
4 Him,"Basics Of Life, The (High Voice) (Vocal)"
4 Him,"Basics Of Life, The (High Voice)"
4 Him,"Basics Of Life, The (Low Voice) (Vocal)"
4 Him,"Basics Of Life, The (Low Voice)"
4 Him,"Basics Of Life, The (Vocal)"
4 Him,"Basics Of Life, The"
4 Him,"Measure Of A Man, The"
4 Him,Basics Of Life
4 Him,For Future Generations
4 Him,For Future Generations (Vocal)
4 Him,Freedom
4 Him,Freedom (Vocal)
4 Him,Measure Of A Man
4 Him,Measure Of A Man (Vocal)
4 Him,Psalm 112
4 Him,Psalm 112 (Vocal)
4 Him,Sacred Hideaway
4 Him,Strange Way To Save The World
4 Him,Strange Way To Save The World (Vocal)
4 Him,Unity (We Stand)
4 Him,Unity (We Stand) (Vocal)
4 Him,Where There Is Faith
4 NON BLONDES,Whats Up
4 Non Blondes,What's Up
4 P.M.,Lay Down Your Love
4 P.M.,Sukiyaki
4 Runner,"Heart With 4 Wheel Drive, A"
4 Runner,"Heart With 4-Wheel Drive, A"
4 Runner,Cain's Blood
4 Runner,Ripples
4 Runner,That Was Him
4 Seasons,Rag Doll
4 TOPS,Cant Help Myself
411 & Ghostface,On My Knees
"411, The",On My Knees
42nd St.,"Party's Over, The"
42nd St.,42nd Street
42nd St.,Lullaby Of Broadway
42nd St.,Lullabye Of Broadway
42nd St.,We're In The Money
42Nd Street,42Nd Street
42Nd Street,We're In The Money
45 Grave,Evil
45 Grave,Party Time
4Him,For Future Generations
4Him,Where There Is Faith
5 4 3 2 Run,Shedaisy
5 FOR FIGHTING,100 YEARS
5 FOR FIGHTING,SUPERMAN
5 Heartbeats,Are You Ready For Me
5 Seconds Of Summer,Amnesia
5 Seconds Of Summer,Don't Stop
5 Seconds Of Summer,Don`t Stop
5 Seconds Of Summer,She Looks So Perfect
5 STAIRSTEPS,OOH CHILD
5 Stairsteps,Ooh Child
"5 Stairsteps, The",O-O-H Child
"5 Stairsteps, The",Ooh Child
5 Star,Rain Or Shine
50 50,Lemar
50 CENT,CANDY SHOP
50 CENT,JUST A LITTLE BIT
50 CENT,OUTTA CONTROL
50 Cent,21 Questions
50 Cent,21 Questions (Vocal)
50 Cent,Amusement Park
50 Cent,Best Friend
50 Cent,Candy Shop
50 Cent,Disco Inferno
50 Cent,Disco Inferno (Radio Version)
50 Cent,Disco Inferno (Vocal)
50 Cent,How We Do
50 Cent,Hustler's Ambition
50 Cent,Hustlers Ambition
50 Cent,I Get Money
50 Cent,I Get Money (Vocal)
50 Cent,If I Can't
50 Cent,In Da Club 
50 Cent,In Da Club
50 Cent,Just A Lil Bit
50 Cent,Just A Lil' Bit
50 Cent,Just A Lil' Bit (Vocal)
50 Cent,Outlaw
50 Cent,Outta Control
50 Cent,P.I.M.P
50 Cent,P.I.M.P.
50 Cent,P.I.M.P. (Radio Version)
50 Cent,P.I.M.P. (Remix)
50 Cent,P.I.M.P. (Vocal)
50 Cent,Piggy Bank
50 Cent,Pimp
50 Cent,Straight To The Bank
50 Cent,Wanksta
50 Cent,What Up Gangsta
50 Cent,What Up Gangsta (Vocal)
50 Cent,Window Shopper
50 Cent & Eminem,Patiently Waiting
50 Cent & Justin Timberlake,Ayo Technology
50 Cent & Justin Timberlake & Timbaland,Ayo Technology
50 Cent & Justin Timberlake & Timbaland,Ayo Technology (Vocal)
50 Cent & Justin Timberlake Wvocal,Ayo Technology
50 Cent & Lil Kim,Magic Stick
50 Cent & Mobb Deep,Outta Control
50 Cent & Mobb Deep,Outta Control (Remix Version)
50 Cent & Nate Dogg,21 Questions
50 Cent & Ne-Yo,Baby By Me
50 Cent & Ne-Yo,Baby By Me (Vocal)
50 Cent & Ne-Yo Wvocal,Baby By Me
50 Cent & Olivia,Best Friend
50 Cent & Olivia W-Vocal,Best Friend
50 CENT & SEAN PAUL,PIMP (REMIX)
50 Cent & The Game,How We Do (Radio Version)
50 Cent (Vocal),Straight To The Bank
50 Cent And Justin Timberlake And Timbaland,Ayo Technology
50 Cent And Mobb Deep,Outta Control
50 Cent And Nate Dogg,21 Questions
50 Cent And The Game,Hate It Or Love It
50 Cent And The Game,How We Do
50 Cent Feat Justin Timberlake & Timberland,Ayo Technology
50 Cent Feat. Eminem & Adam Levine,My Life (Clean)
50 Cent Feat. Snoop Dogg And Young Jeezy,Major Distribution (Clean)
50 Ways To Leave Your Lover,"Simon, Paul"
50-Cent Feat. Eminem And Adam Levine,My Life (Clean)
50-Cent Feat. Eminem And Adam Levine,My Life (Clean)1
50'S Combo,Cry Me A River
50'S Combo,Fever
50'S Combo,Fly Me To The Moon
50'S Combo,God Bless The Child
50'S Combo,When I Fall In Love
5-6-7-8's,Woo Hoo
59th Street Bridge Song,Simon & Garfunkel
5ive,Closer To Me
5ive,Keep On Movin'
5ive,Keep On Movin' (Vocal)
5ive,Let's Dance
5ive,Let's Dance (Vocal)
5ive,With Voca
5Th Dimension,Aquarius
5Th Dimension,Never My Love
5Th Dimension,One Less Bell To Answer
5Th Dimension,Stoned Soul Picnic
5Th Dimension,Up Up & Away
5Th Dimension,Up Up And Away
5Th Dimension,Wedding Bell Blues
5Th Dimension,You Don't Have To Be A Star & Marilyn McCoo
5th Dimension,Last Night I Didn't Get To Sleep At All
"5Th Dimension, The","Up, Up And Away"
"5Th Dimension, The",Aquarius
"5Th Dimension, The",Aquarius (Let The Sun Shine In)
"5Th Dimension, The",Aquariuslet The Sunshine In
"5Th Dimension, The",Last Night I Didn't Get To Sleep At All
"5Th Dimension, The",One Less Bell To Answer
"5Th Dimension, The",Stone Cold Picnic
"5Th Dimension, The",Stone Soul Picnic
"5Th Dimension, The",Stoned Soul Picnic
"5Th Dimension, The",Wedding Bell Blues
"5th Dimension, The","Up, Up & Away (Vocal)"
"5th Dimension, The","Up, Up & Away"
"5th Dimension, The",Aquarius
"5th Dimension, The",Aquarius (Let The Sun Shine In)
"5th Dimension, The",Go Where You Wanna Go
"5th Dimension, The",Last Night I Didn't Get To Sleep At All
"5th Dimension, The",Last Night I Didn't Get To Sleep At All (Vocal)
"5th Dimension, The",Never My Love
"5th Dimension, The",One Less Bell To Answer
"5th Dimension, The",One Less Bell To Answer (Vocal)
"5th Dimension, The",Stoned Soul Picnic
"5th Dimension, The",Stoned Soul Picnic (Vocal)
"5th Dimension, The",Wedding Bell Blues
"5th Dimension, The",Wedding Bell Blues (Vocal)
"5th Dimension, The",You Don't Have To Be A Star
6 Tre G,Fresh
6 Tre G,Fresh (Vocal)
6 Tre G Wvocal,Fresh
69 Boys,Tootsie Roll
69 Boyz,Tootsie Roll
702 Wvocal,Where My Girls At
8 Ball & M.J.G.,You Don't Want Drama
8 Ball & MJG,You Don't Want Drama
8 Ball & Mjg,You Don't Want Drama
8 Ball & Mjg,You Don't Want Drama (Vocal)
8 Ball And Mjg,You Dont Want Drama
8 Stops 7,Question Everything
9 Days,Absolutely
9 Inch Nails,The Hand That Feeds
92 Ad,Humanda Ka Sa Pasko
92Ad,Lupang Hinirang
96 Tears,"Mark, Christian & Mysterians"
98 Degrees,"Hardest Thing, The (Vocal)"
98 Degrees,"Hardest Thing, The"
98 Degrees,"Way You Want Me To, The"
98 Degrees,Because Of You
98 Degrees,Because Of You (Vocal)
98 Degrees,Do You Wanna Dance
98 Degrees,Fly With Me
98 Degrees,Give Me Just One More Night (Una Noche)
98 Degrees,Give Me Just One Night
98 Degrees,Give Me Just One Night (Una Noche)
98 Degrees,Give Me Just One Night (Uno Noche)
98 Degrees,Give Me Just One Night (Vocal)
98 Degrees,Give Me One More Night
98 Degrees,Heat It Up
98 Degrees,I Do
98 Degrees,I Do (Cherish You)
98 Degrees,I Do (Cherish You) (Vocal)
98 Degrees,I Do Cherish You
98 Degrees,If She Only Knew
98 Degrees,Invisible Man
98 Degrees,My Everything
98 Degrees,My Everything (Vocal)
98 Degrees,Still
98 Degrees,Take My Breath Away
98 Degrees,The Hardest Thing
98 Degrees,This Gift
98 Degrees,This Gift (Pop Version)
98 Degrees,This Gift (Rv)
98 Degrees,This Gift (Vocal)
98 Degrees,To Me You're Everything
98 Degrees,True To Your Heart
98 Degrees,True To Your Heart (Vocal)
98 Degrees,Was It Something I Didn't Say
98 Degrees,Way You Want Me To
98 Degrees,Why (Are We Still Friends)
98 Degrees & Stevie Wonder,True To Your Heart
98 Degrees Wvocal,Give Me Just One Night
98 Degrees Wvocal,I Do (Cherish You)
99 Times,"Voegele, Kate"
A,Starbucks
A 3Rd Strike,No Light
A Bout De Ciel,Marjo
A Dakota Moon,Promise I Make
A Day To Remember,It's Complicated
A Foot In Cold Water,Make Me Do Anything You Want
A Girl Called Jane,Hes Alive
A Ha,"Sun Always Shines On Tv, The"
A Ha,Cry Wolf
A Ha,Take On Me
A La Orilla De Un Palmar,"Beltran, Lola"
A Little Bit,Rosie Ribbons
A Little Night Music,Send In The Clowns
A Little Ray Of Sunshine,Brian Cadd
A PERFECT CIRCLE,BLUE
A Perfect Circle,Blue (Remix)
A Perfect Circle,Imagine
A Perfect Circle,Outsider
A Perfect Circle,The Outsider
A Perfect Circle,Weak And Powerless
A Que No Te Vas,"Nazario, Ednita-Vocals"
A Smile Like Yours,Natalie Cole
A Song For Jeffrey,Jethro Tull
"A Tasket, A","Fitzgerald, Ella"
A Teens,Around The World
A Teens,Bouncing Off The Ceiling
A Teens,Bouncing Off The Ceiling (Upside Down)
A Teens,Bouncing Off The Ceiling Upside Down
A Teens,Can't Help Falling In Love With You
A Teens,Floor Filler
A Tribe Called Quest,Can I Kick It
A World Of Our Own,"Seekers,the"
A Year At A Time,Kevin Denney
"A. Testa, T. Renis & N. Newell","Never, Never, Never"
A.B. Quintanilla,Amor Prohibido
A.B. Quintanilla,Como La Flor
A.B. Quintanilla & Los Kumbia Kings,Sshh
A.B.C.,Look Of Love
Û Shanice,Take Care Of U
A1,Be The First To Believe
A1,Candle In The Middle
A1,Caught In The Middle
A1,Every Time
A1,Everytime
A1,Like A Rose
A1,Make It Good
A1,No More
A1,Nothing
A1,Ready Or Not
A1,Same Old Brand New You
A1,Summertime Of Our Lives
A1,Take On Me
A3,Woke Up This Morning
A3,Woke Up This Morning (Sopranos)
A3,Woke Up This Morning (Sopranos)1
A3,Woke Up This Morning (Theme From Sopranos)
A3,Woke Up This Morning(Sopranos)
A3Rd Strike,No Light
AALIYAH,ARE YOU THAT SOMEBODY
Aaliyah,"One I Gave My Heart To, The (Vocal)"
Aaliyah,"One I Gave My Heart To, The"
Aaliyah,Are You That Somebody
Aaliyah,Are You That Somebody (Vocal)
Aaliyah,At Your Best
Aaliyah,At Your Best (Vocal)
Aaliyah,At Your Best (You Are Love)
Aaliyah,Back & Forth
Aaliyah,Back & Forth (Vocal)
Aaliyah,Come Over
Aaliyah,Got To Give It Up
Aaliyah,Hot Like Fire
Aaliyah,I Care 4 U
Aaliyah,I Care For You
Aaliyah,I Don'T Wanna
Aaliyah,I Don't Wanna
Aaliyah,If Your Girl Only Knew
Aaliyah,If Your Girl Only Knew (Vocal)
Aaliyah,Journey To The Past
Aaliyah,Journey To The Past (Vocal)
Aaliyah,Miss You
Aaliyah,Miss You (Vocal)
Aaliyah,More Than A Woman
Aaliyah,More Than A Woman (Vocal)
Aaliyah,Music Of The Heart
Aaliyah,Rock The Boat
Aaliyah,Rock The Boat (Vocal)
Aaliyah,Standing Still
Aaliyah,Try Again
Aaliyah,Try Again (Vocal)
Aaliyah,We Need A Resolution
Aaliyah & Calvin,More Than A Woman
Aaliyah & Tank,Come Over
Aaliyah & Tank,Come Over (Vocal)
Aaliyah Wvocal,Try Again
Aaliyah & Tank,Come Over
Aallyah,"One I Gave My Heart To, The"
Aallyah,Journey To The Past
Aaron And Thea Tippin,Love Like Theres No Tomorrow
Aaron Carter,Im All About You
Aaron Carter,Saturday Night
AARON LINES,WAITING ON THE WONDERFUL
Aaron Lines,Love Changes Everything
Aaron Lines,You Can't Hide Beautiful
Aaron Lines,You Cant Hide Beautiful
AARON NEVILLE,DONT NO MUCH
Aaron Neville,Amazing Grace
Aaron Neville,It's All Right
Aaron Neville (Vocal),It's All Right
Aaron Tippen,Working Man's Phd
Aaron Tippin,Always Was
Aaron Tippin,Come Friday
Aaron Tippin,If Her Lovin' Don't Kill Me
Aaron Tippin,Kiss This
Aaron Tippin,People Like Us
Aaron Tippin,Where The Stars And Stripes And The Eagle Fly
Aaron Tippin,Where The Stars And Stripes And The Eagles Fly
Aaron Tippin,Working Man's Ph.D.
"Aaronson, Irving & The Commanders",Let's Misbehave
"Abalos, Jerome",Larawang Kupas
"Abando, Joey",Damdamin Ko
Abandoned Pools,"Remedy, The"
Abandoned Pools,The Remedy 
Abandoned Pools,The Remedy
"Abaroa, Alejandro",Aventuras En El Tiempo
"Abaroa, Alejandro",Rayito De Luz
ABBA,"Knowing Me, Knowing You (Vocal)"
ABBA,"Knowing Me, Knowing You"
ABBA,"Name Of The Game, The"
ABBA,"Super Trouper-Money, Money, Money-Voulez Vous"
ABBA,"Winner Takes It All, The"
ABBA,ABBA Medley (Stars On 45)
ABBA,Angel Eyes
ABBA,As Good As New
ABBA,Chiquita
ABBA,Chiquitita
ABBA,Dancing Queen
ABBA,Dancing Queen (No Vocals)
ABBA,Dancing Queen (Vocal)
ABBA,Does Your Mother Know
ABBA,Eagle
ABBA,Fernando
ABBA,Gimme Gimme Gimme
ABBA,Gimme Gimme Gimme (Vocal)
ABBA,Happy New Year
ABBA,Hasta Manana
ABBA,Head Over Heels
ABBA,Honey Honey
ABBA,I Do I Do I Do I Do I Do
ABBA,I Do I Do I Do I Do I Do (Vocal)
ABBA,I Have A Dream
ABBA,I Have A Dream (Vocal)
ABBA,Knowing Me Knowing You
ABBA,Knowing Me Knowing You (Vocal)
ABBA,Lay All Your Love On Me
ABBA,Lay All Your Love On Me (Vocal)
ABBA,Mama Mia
ABBA,Mamma Mia
ABBA,Mamma Mia (Vocal)
ABBA,Money Money Money
ABBA,Name Of The Game (Vocal)
ABBA,One Of Us
ABBA,Ring Ring
ABBA,Rock Me
ABBA,S. O. S.
ABBA,S.O.S.
ABBA,SOS
ABBA,SOS (Vocal)
ABBA,So Long
ABBA,Sos
ABBA,Summer Night City
ABBA,Super Trooper
ABBA,Super Trouper
ABBA,Super Trouper (Vocal)
ABBA,Take A Chance On Me
ABBA,Take A Chance On Me (Vocal)
ABBA,Thank You For The Music
ABBA,Thank You For The Music (Vocal)
ABBA,The Winner Takes It All
ABBA,Under Attack
ABBA,Voulez Vous
ABBA,Waterloo
ABBA,Waterloo (No Vocals)
ABBA,Waterloo (Vocal)
ABBA,Winner Takes It All
ABBA,Winner Takes It All (Vocal)
Abba,"Day Before You Came, The"
Abba,"Knowing Me, Knowing You"
Abba,"Money, Money , Money"
Abba,"Money, Money, Money"
Abba,"Name Of The Game, The"
Abba,"Winner Takes It All, The"
Abba,Abba Medley (Stars On 45)
Abba,Angel Eyes
Abba,Angels Eyes
Abba,As Good As New
Abba,Chiquita
Abba,Chiquitita
Abba,Dancing Queen
Abba,Does Your Mother Know
Abba,Fernando
Abba,Gimme Gimme Gimme
Abba,Gimme Gimme Gimme (A Man After Midnight)
Abba,Gimmie Gimmie Gimmie
Abba,Happy New Year
Abba,Hasta Manana
Abba,Have A Dream
Abba,He Is Your Brother
Abba,Head Over Heels
Abba,Hey Hey Helen
Abba,Honey Honey
Abba,I Do I Do
Abba,I Do I Do I Do
Abba,I Do I Do I Do I Do I Do
Abba,I Have A Dream
Abba,I Let The Music Speak
Abba,Im A Marionette
Abba,King Kong Song
Abba,Kisses Of Fire
Abba,Knowing Me Knowing You
Abba,Lay All Your Love On Me
Abba,Lovers Live A Little Longer
Abba,Mama Mia
Abba,Mamma Mia
Abba,Money Money Money
Abba,Move On
Abba,Nina Pretty Ballerina
Abba,One Man One Woman
Abba,One Of Us
Abba,Our Last Summer
Abba,People Need Love
Abba,Ring Ring
Abba,Rock Me
Abba,S. O. S.
Abba,SOS
Abba,So Long
Abba,Soldiers
Abba,Sos
Abba,Stars On 45
Abba,Summer Night City
Abba,Super Trooper
Abba,Super Trouper
Abba,Suzy Hang Around
Abba,Take A Chance On Me
Abba,Thank You For The Music
Abba,The King Has Lost His Crown
Abba,The Name Of The Game
Abba,The Visitors
Abba,The Winner Takes It All
Abba,Two For The Price Of One
Abba,Voulez Vous
Abba,Voulezvous
Abba,Waterloo
Abba,What About Livingstone
Abba,When All Is Said And Done
Abba,Why Did It Have To Be Me
Abba,Winner Takes All
Abba,Winner Takes It All
"Abbot, Russ",Atmosphere
"Abbott, Gregory",Shake You Down
"Abbott, Russ",Atmosphere
ABC,All Of My Heart
ABC,Be Near Me
ABC,Look Of Love
ABC,Poison Arrow
ABC,When Smokey Sings
Abc,"Look Of Love, The"
Abc,Be Near Me
Abc,Look Of Love
Abc,Look Of Love(Part One)
Abc,Poison Arrow
Abc,The Look Oflove
Abc,When Smokey Sings
"Abdon, B. , P. Mariano",Kundiman
"Abdul, Paula","Promise Of A New Day, The"
"Abdul, Paula","Way That You Love Me, The"
"Abdul, Paula",Blowing Kisses In The Wind
